scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
2,1000,0.184,23.625,7
3,1000,0.188,23.755,19
4,1000,0.213,22.435,46
5,1000,0.577,22.971,111
6,1000,0.404,14.999,230
7,1000,0.998,19.061,497
8,1000,1.598,9.158,1075
9,1000,3.516,33.093,2258
10,1000,7.477,26.311,4692
11,1000,15.856,17.444,9719
12,1000,34.145,19.299,19795
13,1000,84.539,23.838,40548
14,1000,160.514,44.216,81610
15,1000,348.741,78.146,165298
16,1000,765.119,116.228,332776
17,1000,1696.2,22.469,771283
18,1000,3981.79,13.75,2718406
19,1000,8928.19,2654.54,7119655
20,1000,20128.3,6860.99,15701923
