scale,# of Buckets,RMAT Gen Time (ms),SSSP time  (ms),# of edges
20,4437501,32783.8,186000,15879224
21,7187601,66857.2,310213,32147722
22,11589001,145910,459559,64783134
23,18600501,316612,916746,130250725
24,30180101,699548,1.1909e+06,261593590
25,48603801,1.54265e+06,1.92731e+06,525015796
26,78587697,-939018,-1.16907e+06,1053070992
27,127275401,-913826,789403,2111308946
28,206417601,318143,slurmstepd: error: *** STEP 48879.0 ON n92 CANCELLED AT 2023-08-01T09:02:08 ***,
29,slurmstepd: error: *** STEP 48882.0 ON n92 CANCELLED AT 2023-08-01T09:03:28 ***,,,
30,127264601,176289,15625498,2111334624
