source,end,weight
0,1,15
0,2,6
0,3,2
0,4,9
0,5,9
0,6,19
0,7,10
0,8,8
0,9,14
1,0,15
1,2,9
1,3,5
1,4,19
1,5,13
1,6,7
1,7,11
1,8,4
1,9,1
2,0,6
2,1,9
2,3,10
2,4,7
2,5,7
2,6,3
2,7,15
2,8,9
2,9,18
3,0,2
3,1,5
3,2,10
3,4,3
3,5,1
3,6,9
3,7,11
3,8,14
3,9,2
4,0,9
4,1,19
4,2,7
4,3,3
4,5,1
4,6,14
4,7,4
4,8,19
4,9,16
5,0,9
5,1,13
5,2,7
5,3,1
5,4,1
5,6,3
5,7,19
5,8,18
5,9,17
6,0,19
6,1,7
6,2,3
6,3,9
6,4,14
6,5,3
6,7,18
6,8,10
6,9,17
7,0,10
7,1,11
7,2,15
7,3,11
7,4,4
7,5,19
7,6,18
7,8,13
7,9,19
8,0,8
8,1,4
8,2,9
8,3,14
8,4,19
8,5,18
8,6,10
8,7,13
8,9,4
9,0,14
9,1,1
9,2,18
9,3,2
9,4,16
9,5,17
9,6,17
9,7,19
9,8,4
