source,end,weight
1,0,75
1,2,78
1,4,81
1,5,48
1,8,42
1,10,39
1,13,87
1,16,70
1,17,35
1,18,9
1,20,21
1,21,19
1,24,52
1,32,89
1,33,10
1,34,28
0,1,75
0,2,78
0,3,81
0,4,48
0,5,42
0,6,39
0,7,87
0,8,70
0,9,35
0,10,9
0,11,21
0,12,19
0,13,52
0,14,89
0,15,10
0,16,28
0,17,74
0,18,62
0,19,33
0,20,34
0,22,78
0,24,20
0,25,27
0,26,8
0,31,44
0,32,24
0,33,53
0,34,75
0,35,73
0,36,69
0,37,90
0,40,47
0,41,46
0,45,70
0,47,46
0,48,87
0,49,8
1,36,74
1,37,62
1,38,33
1,40,34
1,45,78
1,46,20
1,56,27
1,64,8
1,65,44
1,66,24
1,68,53
1,70,75
1,71,73
1,74,69
1,75,90
1,76,47
1,80,46
1,85,70
1,97,46
1,107,87
1,128,8
1,129,32
1,130,9
1,131,95
1,133,92
1,134,81
0,50,32
0,52,9
1,136,65
1,138,43
1,140,69
1,144,26
1,153,70
1,160,94
1,161,40
1,162,2
1,163,27
1,173,17
1,175,74
0,55,95
1,176,53
1,215,76
1,224,17
1,244,29
1,256,81
0,56,92
1,258,91
1,259,1
0,57,81
1,260,49
1,264,32
0,60,65
1,276,99
1,280,46
0,64,43
1,288,1
0,65,69
1,292,45
1,294,33
0,66,26
0,67,70
1,308,61
0,68,94
1,320,28
1,328,93
1,332,7
0,70,40
1,336,20
1,352,73
0,72,2
0,73,27
1,353,23
0,74,17
1,368,14
1,392,94
0,75,74
1,437,48
0,80,53
1,440,84
0,81,76
0,82,17
1,441,87
1,464,87
0,84,29
1,512,37
0,88,81
1,513,14
1,522,56
0,89,91
1,528,10
0,90,1
0,96,49
1,530,18
1,532,83
0,98,32
1,536,78
0,100,99
1,544,46
1,545,63
0,104,46
0,106,1
1,548,68
1,549,98
0,109,45
1,552,63
0,110,33
1,577,51
1,580,97
0,112,61
0,113,28
1,583,9
0,120,93
0,128,7
0,129,20
0,130,73
0,132,23
0,134,14
0,135,94
1,584,4
1,592,93
